farmer_age,land_size_acres,annual_farm_income,loan_amount,crop_type,irrigation_type,existing_loans,credit_score
22,1.71,167271,183133,Cotton,Canal,1,718
40,4.6,167943,323373,Cotton,Canal,0,405
48,7.79,163029,174975,Wheat,Rainfed,2,773
27,1.91,796600,305788,Cotton,Canal,0,818
64,9.36,147772,56295,Maize,Borewell,2,542
28,5.5,153487,349956,Wheat,Borewell,2,454
55,5.3,882847,166242,Wheat,Canal,2,628
34,4.53,140579,424662,Wheat,Rainfed,1,684
37,8.74,290688,246413,Sugarcane,Canal,2,670
56,9.51,726971,236092,Sugarcane,Canal,2,684
60,4.11,385542,472446,Maize,Rainfed,0,556
24,5.65,541297,177615,Wheat,Borewell,2,529
22,3.5,748336,375969,Maize,Canal,2,391
26,4.0,343271,55937,Sugarcane,Borewell,0,533
62,0.77,124073,125130,Rice,Borewell,2,803
24,7.97,858671,364430,Maize,Borewell,2,536
49,9.71,661514,281345,Sugarcane,Borewell,0,636
38,7.81,478922,408858,Wheat,Rainfed,1,776
46,5.42,200844,388328,Sugarcane,Rainfed,1,818
64,8.36,831720,406646,Rice,Canal,0,512
54,8.65,541336,369069,Wheat,Rainfed,1,568
30,5.67,129218,144219,Sugarcane,Borewell,0,395
56,9.4,804407,433727,Maize,Canal,2,612
34,0.79,272393,294820,Rice,Canal,0,427
51,0.6,204811,285446,Maize,Canal,2,681
35,1.27,245089,76953,Wheat,Rainfed,2,323
28,1.05,462603,354609,Cotton,Rainfed,0,614
34,4.53,734693,207400,Wheat,Canal,2,338
43,9.43,180756,463036,Sugarcane,Borewell,0,606
60,6.91,207798,299802,Rice,Rainfed,1,441
41,6.76,217865,445620,Maize,Rainfed,1,482
36,4.16,737414,497828,Sugarcane,Borewell,1,822
38,5.57,879624,260746,Rice,Canal,1,705
44,3.39,600558,492015,Maize,Borewell,1,563
46,5.42,611930,144421,Cotton,Canal,1,621
45,7.59,205275,267488,Wheat,Borewell,2,635
61,5.81,261279,101576,Rice,Canal,2,737
49,4.48,190217,53051,Rice,Rainfed,2,488
35,8.53,169889,359859,Sugarcane,Rainfed,0,780
21,3.23,532406,166732,Wheat,Canal,0,751
45,5.07,566852,441707,Maize,Borewell,2,426
27,9.79,373331,427642,Wheat,Rainfed,2,552
29,9.69,876534,128964,Wheat,Borewell,0,834
44,0.56,633568,201088,Rice,Borewell,2,640
21,5.56,433535,330558,Cotton,Borewell,1,614
64,3.7,408402,258299,Maize,Rainfed,0,366
28,3.27,674705,117566,Cotton,Rainfed,0,594
44,6.16,412685,124424,Cotton,Borewell,2,746
31,4.74,490116,312669,Sugarcane,Canal,1,308
37,7.46,373116,204522,Wheat,Borewell,0,674
28,0.76,864108,463190,Maize,Rainfed,1,326
55,9.31,164274,319367,Sugarcane,Canal,2,661
55,5.89,895246,443590,Maize,Canal,2,530
53,7.0,384854,370734,Maize,Rainfed,1,496
25,6.24,190961,65534,Cotton,Rainfed,2,556
62,9.9,187203,437979,Rice,Canal,2,555
59,9.87,392993,414417,Cotton,Rainfed,2,766
61,6.29,348631,458174,Wheat,Rainfed,1,611
48,7.0,421067,122789,Maize,Rainfed,1,697
27,6.38,408028,421783,Wheat,Canal,0,308
29,3.45,460229,459527,Maize,Canal,0,733
28,2.33,275543,246623,Wheat,Borewell,2,707
32,4.33,427797,103912,Wheat,Canal,2,770
54,6.99,821178,430802,Cotton,Rainfed,2,699
53,1.03,860752,192301,Maize,Rainfed,1,402
43,5.39,359928,337089,Maize,Rainfed,2,434
44,4.38,277727,460796,Wheat,Rainfed,0,362
57,5.51,569916,263681,Rice,Borewell,0,731
55,8.67,203892,477218,Wheat,Borewell,1,602
64,0.95,577497,426156,Wheat,Borewell,1,320
60,7.75,524186,397780,Rice,Canal,0,646
42,6.84,681862,409251,Rice,Borewell,0,591
47,2.44,218850,141328,Cotton,Canal,2,301
55,7.47,897185,108399,Wheat,Canal,0,568
21,5.22,276186,124524,Maize,Rainfed,2,605
55,5.07,156002,218726,Sugarcane,Rainfed,0,361
57,5.09,476369,294937,Rice,Rainfed,0,617
34,9.52,674902,358107,Cotton,Canal,1,696
23,9.47,656925,492043,Wheat,Borewell,1,336
21,9.18,827087,167218,Wheat,Canal,1,485
25,8.92,220728,392190,Cotton,Rainfed,2,473
46,0.86,271933,140568,Cotton,Rainfed,0,701
34,4.31,696289,442266,Wheat,Rainfed,2,321
59,9.0,776512,173786,Wheat,Borewell,2,619
47,7.67,240904,359669,Maize,Borewell,2,673
29,4.84,378531,302282,Rice,Borewell,0,529
35,7.85,449195,382483,Maize,Canal,0,451
35,2.48,852867,261410,Maize,Canal,2,571
46,6.2,586348,201060,Sugarcane,Rainfed,1,668
62,5.56,780095,262997,Wheat,Canal,1,303
33,5.95,516601,342182,Cotton,Rainfed,1,647
52,7.36,244396,418107,Maize,Rainfed,1,344
59,9.52,490569,53686,Wheat,Canal,2,591
52,3.01,745514,135318,Sugarcane,Borewell,1,311
24,7.7,299581,229430,Maize,Borewell,1,489
50,6.63,418343,214622,Rice,Borewell,1,843
57,7.1,644024,118872,Sugarcane,Rainfed,2,484
43,4.57,278392,483237,Cotton,Borewell,1,466
59,9.47,521679,250074,Rice,Canal,2,701
35,5.06,442912,320306,Cotton,Borewell,2,816
63,1.66,297023,358240,Rice,Canal,0,439
49,6.97,809007,431256,Cotton,Borewell,0,825
56,1.72,657295,412273,Rice,Borewell,2,836
33,3.57,660494,356477,Cotton,Rainfed,1,724
52,2.67,701199,269474,Wheat,Rainfed,1,516
27,5.62,573148,422061,Rice,Borewell,2,781
42,3.8,544871,158249,Rice,Rainfed,1,554
48,2.02,165968,76397,Cotton,Rainfed,1,503
22,8.01,480743,120283,Rice,Canal,2,539
62,4.95,641542,271180,Wheat,Borewell,2,525
26,4.82,624417,279475,Rice,Rainfed,2,640
48,8.92,521516,182358,Cotton,Rainfed,0,394
48,5.62,535030,352056,Sugarcane,Canal,0,599
64,7.24,784345,98961,Rice,Rainfed,1,559
64,3.62,867914,425386,Cotton,Borewell,0,520
40,5.83,436661,274177,Rice,Rainfed,0,712
50,7.4,412120,235344,Sugarcane,Rainfed,1,508
31,3.32,146793,169373,Rice,Borewell,2,734
48,7.04,657179,71296,Rice,Canal,2,350
45,5.9,678582,457894,Wheat,Rainfed,0,467
59,4.62,251363,144873,Rice,Canal,1,308
53,7.27,478656,263912,Rice,Borewell,2,607
21,3.51,577200,362014,Sugarcane,Borewell,2,352
47,7.29,349902,120556,Maize,Rainfed,0,370
33,5.74,776576,440707,Rice,Borewell,2,401
61,2.83,159762,268622,Maize,Borewell,1,478
23,6.85,590040,360207,Cotton,Canal,2,714
59,8.91,835341,163563,Wheat,Rainfed,0,685
26,3.45,644630,109119,Wheat,Borewell,2,533
28,8.22,167549,467091,Cotton,Rainfed,0,321
47,3.69,449798,481325,Maize,Borewell,1,669
29,8.3,496609,453182,Cotton,Canal,0,760
57,0.99,564682,451724,Wheat,Rainfed,1,731
53,0.57,811493,496857,Wheat,Canal,1,709
62,1.58,152136,126265,Cotton,Rainfed,0,406
64,8.8,475244,453977,Cotton,Canal,1,361
44,5.57,237303,348232,Sugarcane,Rainfed,2,493
35,6.14,421858,209061,Cotton,Rainfed,0,500
52,8.5,396630,144671,Wheat,Borewell,2,823
52,0.98,396853,447562,Sugarcane,Borewell,2,309
44,4.18,357571,122103,Rice,Borewell,2,551
61,6.61,837223,191106,Maize,Borewell,0,555
32,4.34,517306,297978,Sugarcane,Rainfed,1,611
59,0.81,317811,451228,Wheat,Borewell,1,412
22,6.68,735653,352886,Cotton,Rainfed,1,599
23,4.22,455201,485805,Cotton,Rainfed,2,351
57,0.68,421627,252764,Sugarcane,Canal,0,769
37,2.12,158561,178762,Cotton,Rainfed,0,678
22,2.57,412766,272761,Cotton,Canal,0,443
22,5.35,342494,457321,Rice,Rainfed,1,446
48,2.27,853599,192906,Sugarcane,Borewell,0,794
43,3.93,725219,490990,Wheat,Borewell,1,336
57,7.63,257813,356534,Sugarcane,Rainfed,0,467
52,8.17,895596,84074,Wheat,Canal,0,755
53,8.06,317154,177165,Wheat,Borewell,0,637
21,7.1,884347,204424,Wheat,Canal,2,683
39,5.65,760055,126163,Wheat,Rainfed,2,585
22,5.73,585637,240959,Maize,Canal,0,635
64,9.56,411771,135707,Rice,Canal,1,825
46,8.84,452515,371075,Rice,Rainfed,2,367
52,6.67,573988,333490,Sugarcane,Canal,0,746
26,4.95,396189,92511,Rice,Canal,0,745
52,7.43,709042,61477,Maize,Borewell,1,515
24,1.1,883926,455036,Rice,Borewell,1,614
31,9.47,823722,215347,Maize,Canal,2,352
37,5.7,202246,393713,Rice,Rainfed,1,345
58,5.28,366933,160613,Wheat,Rainfed,0,447
44,3.26,516454,70346,Rice,Borewell,2,773
25,0.53,635163,65437,Maize,Borewell,2,714
54,1.08,570507,183250,Maize,Borewell,2,706
26,3.0,363650,388469,Wheat,Borewell,1,564
42,5.64,773676,426524,Wheat,Canal,2,686
31,1.29,482915,450897,Sugarcane,Rainfed,2,359
36,9.73,168276,489672,Cotton,Rainfed,0,339
53,4.4,149973,456069,Cotton,Rainfed,0,324
29,3.51,769622,494327,Cotton,Canal,0,683
26,5.49,614470,409240,Rice,Borewell,2,568
36,1.12,449236,235641,Rice,Rainfed,2,828
49,8.58,373099,236041,Wheat,Canal,1,842
23,4.87,363497,254720,Maize,Borewell,2,757
40,2.19,612678,187769,Maize,Rainfed,0,523
56,2.04,218884,235363,Sugarcane,Borewell,1,566
39,3.93,666660,94308,Cotton,Rainfed,1,759
46,5.95,547154,471253,Sugarcane,Rainfed,2,578
23,4.46,685848,256428,Rice,Canal,2,721
39,6.17,242763,465765,Wheat,Rainfed,1,517
40,7.2,148680,65588,Sugarcane,Rainfed,0,462
52,7.61,396864,226982,Rice,Rainfed,2,434
27,4.31,553715,311660,Maize,Canal,1,686
61,7.31,145258,342391,Cotton,Canal,1,645
53,1.84,165290,168271,Rice,Borewell,0,709
60,5.37,313874,218986,Wheat,Rainfed,2,402
59,1.19,874958,174814,Maize,Borewell,2,407
38,2.82,612734,282034,Maize,Borewell,1,430
60,6.04,821205,69377,Cotton,Borewell,0,423
21,7.53,807069,453290,Sugarcane,Borewell,0,702
31,1.41,806790,398299,Wheat,Borewell,0,603
48,2.47,436399,119741,Wheat,Canal,2,419
45,9.92,375548,156165,Sugarcane,Canal,1,314
43,3.71,795005,72783,Maize,Canal,1,531
51,3.2,455621,307320,Rice,Canal,0,798
50,1.31,565964,272386,Sugarcane,Rainfed,2,578
62,7.1,455543,193457,Sugarcane,Rainfed,0,361
55,5.33,122547,454175,Wheat,Canal,1,397
27,2.0,180877,306355,Maize,Canal,1,443
36,6.51,864385,365312,Cotton,Rainfed,2,649
46,5.49,708009,96194,Rice,Borewell,0,817
22,5.87,341135,225696,Wheat,Borewell,2,521
21,9.95,675814,63165,Sugarcane,Borewell,0,810
32,0.77,155232,478505,Cotton,Rainfed,0,491
25,9.19,535104,244704,Sugarcane,Rainfed,2,505
57,8.5,422941,165173,Maize,Borewell,2,767
52,4.45,637322,251469,Rice,Borewell,2,685
29,8.87,417892,406972,Wheat,Rainfed,2,738
61,6.66,352996,230107,Rice,Borewell,2,602
55,8.95,210612,400924,Sugarcane,Rainfed,1,301
39,6.15,224418,146136,Maize,Rainfed,1,618
36,2.55,311599,210301,Rice,Borewell,0,520
23,5.97,182750,61797,Wheat,Rainfed,2,772
40,2.2,166673,233094,Cotton,Canal,1,423
44,1.84,714249,57682,Sugarcane,Rainfed,0,652
53,6.71,221527,167081,Cotton,Rainfed,2,457
44,9.5,168799,198769,Wheat,Canal,2,823
31,6.09,829988,221639,Wheat,Borewell,2,842
28,8.06,658293,368209,Wheat,Rainfed,2,565
56,2.1,567521,85129,Wheat,Canal,1,771
58,6.71,465716,194227,Sugarcane,Rainfed,2,600
60,7.46,312887,431068,Sugarcane,Rainfed,1,352
40,0.9,864265,123981,Rice,Rainfed,2,540
55,1.42,244845,168052,Sugarcane,Rainfed,2,649
45,7.93,154765,419032,Rice,Rainfed,2,784
55,4.68,557718,382721,Rice,Rainfed,2,511
45,4.35,328671,236464,Maize,Rainfed,0,477
49,9.24,503931,486509,Rice,Canal,1,674
38,9.92,230894,156080,Rice,Canal,2,535
38,7.76,738110,226720,Wheat,Rainfed,1,490
22,8.03,597899,204235,Wheat,Rainfed,0,410
55,2.48,690920,101426,Wheat,Rainfed,2,358
36,2.33,660705,226629,Sugarcane,Borewell,1,563
61,9.82,679150,379111,Rice,Canal,1,433
56,7.1,181971,127487,Maize,Borewell,2,379
53,7.02,833564,419685,Wheat,Rainfed,1,532
24,3.22,629199,490643,Maize,Rainfed,2,604
53,8.92,775219,175106,Maize,Canal,2,424
34,0.92,137841,89669,Wheat,Canal,1,582
41,3.11,477993,190488,Sugarcane,Rainfed,2,758
40,2.21,131656,390595,Maize,Canal,0,485
28,7.26,351787,142098,Sugarcane,Canal,2,360
27,7.3,743537,119007,Cotton,Rainfed,2,578
23,5.58,128883,348661,Sugarcane,Borewell,2,834
37,0.55,503362,62975,Cotton,Canal,0,594
53,8.8,881289,207446,Rice,Rainfed,0,809
32,9.58,635751,424227,Wheat,Rainfed,2,753
42,2.42,707190,128124,Sugarcane,Canal,0,664
42,8.5,612806,412940,Wheat,Borewell,0,638
50,9.75,845214,342945,Sugarcane,Rainfed,1,789
58,3.61,753740,151599,Rice,Borewell,0,637
58,2.26,637909,90010,Rice,Rainfed,2,300
28,9.79,238037,67501,Cotton,Rainfed,2,586
47,1.07,298437,433447,Wheat,Borewell,2,343
47,3.12,161076,97514,Maize,Rainfed,2,632
54,7.55,668865,343918,Cotton,Rainfed,2,588
41,6.36,226202,245781,Cotton,Canal,2,587
50,7.0,684260,141354,Rice,Borewell,2,708
53,7.23,487632,259464,Rice,Rainfed,2,387
48,7.02,218309,386396,Maize,Canal,0,703
53,3.75,670272,230735,Cotton,Rainfed,2,520
25,3.46,274385,429558,Wheat,Rainfed,0,722
39,4.57,648008,172975,Cotton,Borewell,1,641
24,8.17,800479,409730,Rice,Borewell,0,715
55,9.41,629072,494285,Rice,Borewell,2,711
37,4.82,593490,343715,Sugarcane,Rainfed,0,435
64,1.31,770742,363710,Wheat,Rainfed,0,320
48,9.41,820464,429903,Cotton,Canal,0,509
50,1.26,206156,374689,Cotton,Rainfed,2,523
49,2.01,549568,439244,Maize,Canal,2,480
26,8.74,477228,461192,Wheat,Borewell,2,524
55,5.74,172773,284494,Rice,Borewell,1,520
61,3.85,659371,72189,Wheat,Borewell,2,402
57,9.34,709861,230237,Wheat,Borewell,0,613
44,9.62,270051,189319,Maize,Rainfed,0,701
49,3.64,709001,267489,Maize,Rainfed,2,402
51,8.75,210722,297674,Sugarcane,Borewell,1,745
55,6.95,368601,156592,Rice,Canal,1,844
53,3.11,292199,276030,Maize,Rainfed,1,300
41,9.44,653686,269701,Rice,Borewell,0,381
52,1.1,351827,59524,Maize,Rainfed,1,404
43,3.52,629180,95994,Sugarcane,Rainfed,2,549
53,4.26,281793,448429,Cotton,Rainfed,1,699
23,7.06,739007,194401,Sugarcane,Rainfed,0,839
38,0.87,787558,160978,Wheat,Canal,1,313
45,8.95,398503,459011,Maize,Rainfed,1,612
62,6.76,859803,204783,Wheat,Canal,1,433
51,3.11,369180,496849,Wheat,Canal,0,610
23,6.75,406196,373955,Sugarcane,Canal,0,598
60,5.6,554136,433114,Cotton,Canal,1,848
44,3.69,787741,316722,Sugarcane,Canal,0,705
52,0.77,219187,393452,Maize,Canal,2,836
42,5.74,494072,475180,Cotton,Canal,0,375
43,1.28,514651,197552,Wheat,Rainfed,0,758
22,8.2,555944,390866,Wheat,Borewell,1,413
47,1.34,180336,367239,Rice,Rainfed,2,744
62,4.57,196436,354256,Rice,Canal,2,316
22,4.63,143100,418575,Wheat,Borewell,1,823
46,5.78,860820,214601,Wheat,Borewell,1,389
37,0.88,740071,102747,Cotton,Rainfed,1,741
60,2.44,303690,152511,Rice,Canal,2,476
53,2.4,349978,107476,Sugarcane,Borewell,2,554
29,6.19,621772,230973,Wheat,Canal,2,443
63,3.0,871819,143901,Sugarcane,Borewell,2,620
59,1.87,268391,256003,Cotton,Rainfed,2,600
49,0.67,627424,364859,Maize,Borewell,0,757
62,8.49,357497,257328,Wheat,Rainfed,1,657
46,9.73,213277,490134,Cotton,Canal,0,382
55,7.18,744175,398074,Wheat,Borewell,0,633
45,4.42,886934,451721,Cotton,Rainfed,1,318
44,1.66,644933,69613,Maize,Rainfed,0,751
33,5.01,580106,354676,Wheat,Canal,2,678
27,4.84,142820,123361,Wheat,Borewell,0,601
56,4.49,717228,109958,Maize,Borewell,2,713
40,4.09,328804,54937,Cotton,Canal,1,424
21,5.22,141926,178311,Wheat,Borewell,1,311
28,1.2,406585,435595,Cotton,Rainfed,1,362
36,0.86,399185,249773,Maize,Canal,0,301
34,1.11,833937,64925,Maize,Canal,1,651
32,2.4,160169,310436,Cotton,Rainfed,2,703
43,3.14,218181,269350,Cotton,Rainfed,1,501
35,2.11,758970,334206,Cotton,Borewell,2,380
48,2.89,400772,78820,Maize,Rainfed,0,820
54,2.27,191703,102127,Maize,Borewell,2,403
22,1.93,301026,88045,Cotton,Canal,1,439
52,3.28,210473,365231,Cotton,Canal,2,657
43,4.28,425665,388856,Cotton,Rainfed,0,658
42,7.57,541107,101257,Wheat,Borewell,2,644
45,9.58,642497,386061,Maize,Rainfed,1,562
42,9.23,899246,229112,Wheat,Borewell,0,532
42,5.02,785378,440731,Maize,Canal,2,397
62,4.88,585668,457415,Sugarcane,Rainfed,2,474
26,1.69,269866,378081,Wheat,Rainfed,0,470
35,9.73,576810,97525,Cotton,Borewell,2,761
63,7.72,296698,448894,Maize,Rainfed,1,437
57,8.55,312672,385800,Sugarcane,Canal,0,424
53,2.72,621941,312549,Cotton,Canal,2,322
28,4.31,288550,184188,Maize,Rainfed,0,545
64,1.48,824204,345334,Rice,Rainfed,1,713
64,9.44,624094,68371,Rice,Rainfed,1,521
25,3.22,439459,430839,Sugarcane,Rainfed,1,443
59,6.16,370386,59673,Wheat,Borewell,2,413
24,1.95,288216,219436,Sugarcane,Canal,1,518
26,8.13,465706,170682,Cotton,Rainfed,1,834
52,2.27,587646,473951,Wheat,Borewell,1,473
50,8.19,770658,88241,Sugarcane,Rainfed,0,694
55,4.32,296692,421517,Sugarcane,Borewell,2,480
60,5.99,813796,170274,Rice,Canal,1,568
36,3.06,365606,361499,Cotton,Canal,2,430
33,8.89,787178,170782,Wheat,Canal,1,334
62,7.72,748098,297199,Rice,Borewell,0,599
50,3.87,371570,99752,Rice,Borewell,2,378
39,6.06,481529,148133,Maize,Rainfed,0,436
37,1.73,391593,107065,Cotton,Rainfed,0,581
39,2.02,597143,74493,Rice,Borewell,2,792
48,5.57,562498,475131,Maize,Rainfed,0,720
46,6.59,282374,92575,Cotton,Rainfed,2,633
57,5.8,765452,382008,Cotton,Borewell,2,600
46,5.81,486846,328481,Wheat,Borewell,1,395
43,7.55,708088,252737,Cotton,Rainfed,0,554
29,9.07,851749,196650,Sugarcane,Borewell,1,553
32,4.18,769181,238338,Cotton,Canal,0,445
21,5.6,248836,313162,Rice,Rainfed,0,667
21,8.98,134184,164323,Sugarcane,Borewell,1,782
54,4.91,414059,375356,Rice,Rainfed,2,366
52,4.73,355317,341895,Rice,Rainfed,2,806
45,7.78,410714,332192,Rice,Canal,0,752
60,8.83,243582,480727,Maize,Borewell,1,533
21,7.51,128314,290499,Wheat,Borewell,0,601
36,1.45,725438,372304,Maize,Canal,0,550
59,4.92,839955,321451,Rice,Borewell,1,616
25,2.51,863749,55290,Cotton,Canal,1,697
42,3.51,174513,315076,Cotton,Rainfed,2,784
49,4.95,486204,246976,Rice,Canal,0,744
23,2.6,884485,352169,Cotton,Borewell,2,405
32,5.4,144945,58768,Maize,Rainfed,0,585
46,6.61,419280,89994,Cotton,Canal,2,661
36,8.81,573300,181548,Wheat,Borewell,0,743
57,2.51,838755,382072,Rice,Rainfed,2,704
42,3.45,539263,415528,Sugarcane,Borewell,1,301
49,4.36,597306,62000,Wheat,Borewell,1,684
34,2.63,241550,391385,Cotton,Borewell,0,550
48,3.65,205811,409906,Rice,Borewell,2,736
25,8.89,311312,302324,Sugarcane,Rainfed,1,724
50,1.82,222424,171744,Wheat,Canal,0,794
25,4.72,795371,423619,Cotton,Canal,0,537
32,3.45,645789,260957,Cotton,Borewell,0,532
36,1.23,890538,221091,Rice,Rainfed,0,750
46,1.41,702183,326355,Cotton,Canal,0,678
46,7.96,704644,58209,Rice,Rainfed,2,717
41,8.6,406586,465980,Sugarcane,Borewell,1,434
59,7.54,785007,448758,Maize,Rainfed,0,383
56,5.62,270968,265043,Rice,Borewell,0,741
53,7.84,642223,319529,Wheat,Canal,0,559
50,1.94,679401,331228,Maize,Rainfed,0,825
57,7.91,669865,101253,Maize,Canal,1,797
43,4.52,645450,413224,Wheat,Borewell,0,316
30,7.63,826843,149604,Maize,Canal,2,572
25,2.66,139627,77020,Maize,Canal,0,790
56,8.41,469715,350884,Wheat,Borewell,1,625
54,5.9,252223,126110,Wheat,Rainfed,1,621
51,0.57,696897,489070,Rice,Rainfed,1,768
30,5.43,122664,130212,Rice,Borewell,2,314
39,3.45,796515,385188,Rice,Borewell,0,686
52,1.05,180809,265304,Maize,Borewell,0,836
21,4.75,703611,117579,Rice,Canal,0,408
25,3.46,146284,362364,Maize,Borewell,0,392
24,2.44,305426,426264,Maize,Canal,1,775
36,3.82,403449,456920,Maize,Canal,2,756
44,2.21,194274,457688,Wheat,Rainfed,1,342
36,3.35,658198,111645,Sugarcane,Borewell,1,488
22,1.6,689889,312073,Sugarcane,Borewell,0,658
48,1.3,265543,445285,Cotton,Borewell,0,552
52,9.15,196481,445191,Maize,Canal,0,772
47,9.08,598137,319817,Maize,Rainfed,2,369
40,8.37,150808,193875,Rice,Canal,0,723
44,2.69,829512,456442,Maize,Borewell,2,353
32,7.4,308632,383469,Rice,Rainfed,2,669
55,6.1,517868,455092,Rice,Borewell,0,785
53,0.99,703516,313311,Sugarcane,Canal,2,708
53,9.05,307157,377694,Maize,Canal,0,762
63,9.98,136630,498841,Rice,Borewell,0,558
57,7.23,210619,161886,Maize,Borewell,0,541
32,2.7,569135,217611,Rice,Borewell,2,800
23,5.77,407978,104381,Wheat,Borewell,2,394
21,1.54,550639,396016,Cotton,Rainfed,1,558
53,3.34,644106,124183,Sugarcane,Rainfed,2,783
60,7.31,788913,343416,Wheat,Borewell,1,812
30,3.36,473522,329387,Sugarcane,Rainfed,1,310
63,1.9,437106,371484,Sugarcane,Borewell,1,301
64,0.57,244802,399944,Sugarcane,Canal,1,683
49,5.94,596398,303140,Sugarcane,Borewell,2,621
33,9.7,272867,270659,Sugarcane,Rainfed,0,374
32,5.1,725234,286008,Wheat,Borewell,1,607
51,2.52,722799,459932,Sugarcane,Canal,0,340
22,4.9,785257,352266,Rice,Canal,2,691
55,6.22,845475,111653,Wheat,Canal,1,771
43,8.11,672362,59486,Sugarcane,Borewell,1,516
37,4.8,629411,363813,Cotton,Borewell,2,645
46,2.14,782242,302434,Maize,Canal,0,577
28,2.29,751742,90109,Wheat,Canal,0,410
49,9.05,357799,120091,Rice,Rainfed,2,454
46,2.74,379866,431551,Rice,Borewell,2,357
30,7.42,397666,130344,Cotton,Canal,0,676
46,3.06,366345,114856,Maize,Borewell,0,430
54,7.35,437431,174122,Maize,Borewell,1,553
61,1.24,797403,175158,Sugarcane,Borewell,2,507
27,2.47,417312,60140,Maize,Rainfed,1,646
24,4.38,502894,226605,Wheat,Canal,1,410
31,5.4,532590,465188,Maize,Canal,2,586
49,3.85,445034,261798,Sugarcane,Canal,1,537
56,5.95,430051,322137,Rice,Rainfed,0,472
45,3.59,144432,153996,Maize,Rainfed,0,751
41,6.95,247504,483950,Sugarcane,Rainfed,1,728
56,5.36,220214,238801,Sugarcane,Rainfed,1,300
30,7.2,162186,279258,Cotton,Rainfed,0,797
57,4.59,440036,420087,Maize,Borewell,2,422
29,8.83,568657,340775,Rice,Borewell,1,668
44,4.13,357854,291713,Sugarcane,Borewell,2,715
55,3.43,812891,433621,Maize,Borewell,1,410
55,5.79,328960,377067,Wheat,Borewell,0,607
56,5.34,613683,162011,Wheat,Rainfed,2,370
38,5.42,742490,491692,Rice,Canal,1,554
59,8.06,647399,488497,Wheat,Borewell,0,612
52,6.09,330571,83071,Sugarcane,Canal,0,568
44,8.91,363659,103559,Cotton,Borewell,2,691
43,6.38,624666,443425,Sugarcane,Rainfed,1,794
52,0.71,277978,407024,Wheat,Canal,2,778
57,8.77,605052,257753,Cotton,Canal,2,749
32,8.48,865330,283061,Maize,Rainfed,0,562
33,0.96,846637,368437,Sugarcane,Rainfed,0,686
43,1.69,693939,57610,Rice,Rainfed,0,754
45,5.79,136009,119781,Rice,Rainfed,2,561
55,0.91,497191,247808,Cotton,Rainfed,2,536
61,4.41,670777,431815,Wheat,Canal,2,406
50,9.77,861522,73756,Cotton,Rainfed,1,539
37,2.14,877827,146483,Wheat,Borewell,2,369
40,2.46,573626,197516,Rice,Borewell,0,650
45,6.93,369060,427328,Wheat,Rainfed,0,742
42,0.92,203726,449390,Wheat,Canal,1,564
33,8.3,385718,83392,Wheat,Canal,1,617
